event_id,event_time,latitude,longitude,depth_km,magnitude,nn_log_eta_b0,parent_id,parent_distance_km,parent_dt_days,parent_lat,parent_lon,parent_depth
19812,2019-12-21 20:22:00,6.84,125.05,10.0,2.7,-7.852171371065459,13113.0,0.0,162.3375,6.84,125.05,10.0
19830,2019-12-21 23:54:00,7.03,125.37,1.0,2.7,-8.446815468404141,17810.0,0.0,41.28333333333333,7.03,125.37,1.0
19845,2019-12-22 02:30:00,7.63,124.9,1.0,2.6,-8.542343300142658,18178.0,0.0,33.13194444444444,7.63,124.9,1.0
19871,2019-12-22 13:06:00,6.68,124.85,21.0,2.1,-8.241868930418748,15664.0,0.0,66.17916666666666,6.68,124.85,21.0
19886,2019-12-22 18:59:00,6.64,125.14,14.0,2.2,-8.337865042645843,16583.0,0.0,53.05486111111111,6.64,125.14,14.0
19901,2019-12-23 01:11:00,6.69,125.14,19.0,2.0,-9.573471943527908,19678.0,0.0,3.0840277777777776,6.69,125.14,19.0
19912,2019-12-23 03:05:00,7.64,124.88,3.0,2.5,-8.545880448155936,18256.0,0.0,32.863194444444446,7.64,124.88,3.0
19943,2019-12-23 14:31:00,6.77,125.05,10.0,2.6,-8.326365304753772,16504.0,0.0,54.47847222222222,6.77,125.05,10.0
20017,2019-12-25 00:53:00,6.8,125.05,12.0,2.4,-8.374362030839551,17474.0,0.0,48.77847222222222,6.8,125.05,12.0
20027,2019-12-25 03:57:00,6.79,124.95,20.0,2.7,-8.338291593836708,17066.0,0.0,53.00277777777778,6.79,124.95,20.0
20157,2019-12-28 02:12:00,6.55,125.27,20.0,2.3,-9.060784423743073,19468.0,0.0,10.041666666666666,6.55,125.27,20.0
20332,2020-01-02 08:42:00,6.6,125.21,12.0,2.8,-9.047883053064316,19896.0,0.0,10.344444444444445,6.6,125.21,12.0
20352,2020-01-03 05:50:00,7.65,124.92,1.0,2.3,-8.406618537143153,18174.0,0.0,45.28680555555555,7.65,124.92,1.0
20354,2020-01-03 10:14:00,7.68,124.93,1.0,2.3,-8.63121529046543,18833.0,0.0,27.000694444444445,7.68,124.93,1.0
20363,2020-01-03 21:34:00,6.74,125.14,7.0,2.4,-9.584264268748301,20298.0,0.0,3.0083333333333333,6.74,125.14,7.0
20548,2020-01-11 00:16:00,6.68,125.29,33.0,2.3,-9.161578657635626,20346.0,0.0,7.961805555555555,6.68,125.29,33.0
20562,2020-01-11 04:10:00,6.98,125.04,17.0,2.6,-8.129496803646493,15681.0,0.0,85.72222222222223,6.98,125.04,17.0
20566,2020-01-11 08:12:00,6.62,125.01,24.0,3.0,-8.691278589298872,19562.0,0.0,23.513194444444444,6.62,125.01,24.0
20570,2020-01-11 09:17:00,13.14,124.09,7.0,4.0,-7.318055490657985,3874.0,0.0,555.3090277777778,13.14,124.09,7.0
20777,2020-01-13 12:20:00,14.01,120.92,10.0,3.0,-11.011437702158954,20738.0,0.0,0.1125,14.01,120.92,10.0
20784,2020-01-13 12:40:00,14.03,120.93,9.0,2.4,-11.414772742717696,20766.0,0.0,0.044444444444444446,14.03,120.93,9.0
